runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-orion-fr-29BT,6,0,0.0,0.19567979670000002,0.249047014,0.23125794160000002,0.22490470140000002
1p46G-gemma-orion-fr-29BT,6,1000,2.097152,0.2833545108,0.3557814485,0.3557814485,0.3011435832
1p46G-gemma-orion-fr-29BT,6,10000,20.97152,0.2350698856,0.290978399,0.30495552730000003,0.3494282084
1p46G-gemma-orion-fr-29BT,6,10500,22.020096,0.2299872935,0.3024142313,0.3062261753,0.34561626430000003
1p46G-gemma-orion-fr-29BT,6,11000,23.068672,0.2287166455,0.2947903431,0.3087674714,0.3481575604
1p46G-gemma-orion-fr-29BT,6,11500,24.117248,0.23634053370000002,0.29860228720000004,0.30495552730000003,0.3418043202
1p46G-gemma-orion-fr-29BT,6,12000,25.165824,0.2414231258,0.2947903431,0.3024142313,0.3379923761
1p46G-gemma-orion-fr-29BT,6,12500,26.2144,0.24523506990000002,0.2998729352,0.31003811940000003,0.3430749682
1p46G-gemma-orion-fr-29BT,6,13000,27.262976,0.23634053370000002,0.2960609911,0.3074968234,0.3367217281
1p46G-gemma-orion-fr-29BT,6,13500,28.311552,0.2350698856,0.3024142313,0.3087674714,0.3418043202
1p46G-gemma-orion-fr-29BT,6,14000,29.360128,0.2376111817,0.3087674714,0.3151207116,0.3418043202
1p46G-gemma-orion-fr-29BT,6,1500,3.145728,0.28716645490000003,0.3532401525,0.3583227446,0.3202033037
1p46G-gemma-orion-fr-29BT,6,2000,4.194304,0.2744599746,0.3202033037,0.3418043202,0.32147395170000004
1p46G-gemma-orion-fr-29BT,6,2500,5.24288,0.2706480305,0.334180432,0.35069885640000004,0.3443456163
1p46G-gemma-orion-fr-29BT,6,3000,6.291456,0.2541296061,0.3024142313,0.3202033037,0.3125794155
1p46G-gemma-orion-fr-29BT,6,3500,7.340032,0.25285895810000003,0.3062261753,0.3290978399,0.3189326557
1p46G-gemma-orion-fr-29BT,6,4000,8.388608,0.2642947903,0.3176620076,0.3252858958,0.3379923761
1p46G-gemma-orion-fr-29BT,6,4500,9.437184,0.2465057179,0.3074968234,0.32147395170000004,0.3494282084
1p46G-gemma-orion-fr-29BT,6,500,1.048576,0.24523506990000002,0.3634053367,0.38500635320000004,0.2642947903
1p46G-gemma-orion-fr-29BT,6,5000,10.48576,0.24523506990000002,0.3125794155,0.3087674714,0.3608640407
1p46G-gemma-orion-fr-29BT,6,5500,11.534336,0.23634053370000002,0.28716645490000003,0.2973316391,0.3608640407
1p46G-gemma-orion-fr-29BT,6,6000,12.582912,0.249047014,0.2973316391,0.2973316391,0.3583227446
1p46G-gemma-orion-fr-29BT,6,6500,13.631488,0.249047014,0.3036848793,0.3113087675,0.3722998729
1p46G-gemma-orion-fr-29BT,6,7000,14.680064,0.2376111817,0.29224904700000004,0.3138500635,0.3583227446
1p46G-gemma-orion-fr-29BT,6,7500,15.72864,0.2325285896,0.2973316391,0.3113087675,0.3672172808
1p46G-gemma-orion-fr-29BT,6,8000,16.777216,0.2439644219,0.289707751,0.31639135960000003,0.3481575604
1p46G-gemma-orion-fr-29BT,6,8500,17.825792,0.2350698856,0.2998729352,0.3074968234,0.3672172808
1p46G-gemma-orion-fr-29BT,6,9000,18.874368,0.2414231258,0.30495552730000003,0.3074968234,0.3557814485
1p46G-gemma-orion-fr-29BT,6,9500,19.922944,0.2439644219,0.3024142313,0.3062261753,0.3545108005
1p46G-gemma-aquila-fr-29BT,6,0,0.0,0.19567979670000002,0.249047014,0.23125794160000002,0.22490470140000002
1p46G-gemma-aquila-fr-29BT,6,1000,2.097152,0.2693773825,0.3557814485,0.38500635320000004,0.3252858958
1p46G-gemma-aquila-fr-29BT,6,10000,20.97152,0.2465057179,0.31003811940000003,0.32147395170000004,0.33290978400000004
1p46G-gemma-aquila-fr-29BT,6,10500,22.020096,0.2426937738,0.3074968234,0.32782719190000004,0.3354510801
1p46G-gemma-aquila-fr-29BT,6,11000,23.068672,0.2350698856,0.3074968234,0.3252858958,0.3443456163
1p46G-gemma-aquila-fr-29BT,6,11500,24.117248,0.250317662,0.31639135960000003,0.3265565438,0.3494282084
1p46G-gemma-aquila-fr-29BT,6,12000,25.165824,0.2414231258,0.3062261753,0.3290978399,0.33926302410000003
1p46G-gemma-aquila-fr-29BT,6,12500,26.2144,0.23634053370000002,0.3074968234,0.3265565438,0.3443456163
1p46G-gemma-aquila-fr-29BT,6,13000,27.262976,0.2376111817,0.3062261753,0.3227445997,0.3494282084
1p46G-gemma-aquila-fr-29BT,6,13500,28.311552,0.2261753494,0.3062261753,0.3202033037,0.3367217281
1p46G-gemma-aquila-fr-29BT,6,14000,29.360128,0.2376111817,0.3113087675,0.32147395170000004,0.3532401525
1p46G-gemma-aquila-fr-29BT,6,1500,3.145728,0.2782719187,0.3379923761,0.3430749682,0.3367217281
1p46G-gemma-aquila-fr-29BT,6,2000,4.194304,0.2731893266,0.3252858958,0.3367217281,0.3265565438
1p46G-gemma-aquila-fr-29BT,6,2500,5.24288,0.2655654384,0.3252858958,0.3240152478,0.32147395170000004
1p46G-gemma-aquila-fr-29BT,6,3000,6.291456,0.2554002541,0.3189326557,0.3354510801,0.334180432
1p46G-gemma-aquila-fr-29BT,6,3500,7.340032,0.25794155020000004,0.32147395170000004,0.3290978399,0.33290978400000004
1p46G-gemma-aquila-fr-29BT,6,4000,8.388608,0.2554002541,0.3303684879,0.33926302410000003,0.34561626430000003
1p46G-gemma-aquila-fr-29BT,6,4500,9.437184,0.25285895810000003,0.3202033037,0.33290978400000004,0.3227445997
1p46G-gemma-aquila-fr-29BT,6,500,1.048576,0.2604828463,0.4066073698,0.4066073698,0.2770012706
1p46G-gemma-aquila-fr-29BT,6,5000,10.48576,0.250317662,0.3252858958,0.3227445997,0.35069885640000004
1p46G-gemma-aquila-fr-29BT,6,5500,11.534336,0.2617534943,0.3176620076,0.334180432,0.35705209660000004
1p46G-gemma-aquila-fr-29BT,6,6000,12.582912,0.2465057179,0.3202033037,0.3138500635,0.33290978400000004
1p46G-gemma-aquila-fr-29BT,6,6500,13.631488,0.2401524778,0.30495552730000003,0.3303684879,0.3494282084
1p46G-gemma-aquila-fr-29BT,6,7000,14.680064,0.25158831,0.3113087675,0.3240152478,0.34561626430000003
1p46G-gemma-aquila-fr-29BT,6,7500,15.72864,0.24777636590000002,0.3202033037,0.3354510801,0.35705209660000004
1p46G-gemma-aquila-fr-29BT,6,8000,16.777216,0.2401524778,0.2998729352,0.3202033037,0.3367217281
1p46G-gemma-aquila-fr-29BT,6,8500,17.825792,0.250317662,0.3138500635,0.3265565438,0.3595933926
1p46G-gemma-aquila-fr-29BT,6,9000,18.874368,0.250317662,0.3138500635,0.3265565438,0.3545108005
1p46G-gemma-aquila-fr-29BT,6,9500,19.922944,0.2426937738,0.3011435832,0.3265565438,0.35069885640000004
baseline-fr-,42,0,0.0,0.22625979840000002,0.22625979840000002,0.22625979840000002,0.22625979840000002
