task,metric,avg_spearman,avg_kendall_tau_a,max_std,max_std_step,min_std,min_std_step,mean_std,avg_snr,max_n_std
lighteval|alghafa_mmlu_ara_cf:_average|0,acc,0.8214005686563283,0.9857142857142858,0.0033993606480791833,13000.0,0.0028976580635015686,12000.0,0.003277694768466456,117.23534275307597,0.9656972934510244
lighteval|alghafa_mmlu_ara_cf:_average|0,acc_norm,0.8334469289140951,0.8714285714285716,0.00195513423784891,14000.0,0.0012860286036834026,12500.0,0.0016159593281699588,193.63086118604897,6.699351696510091
lighteval|alghafa_mmlu_ara_cf:_average|0,acc_norm_token,0.6998242139765253,0.9142857142857145,0.0032572978633470025,13500.0,0.0027756433641699437,12000.0,0.00305053275828171,117.96854319449143,3.7283749652546314
lighteval|alghafa_mmlu_ara_cf:_average|0,acc_norm_pmi,0.729998653052026,0.8285714285714288,0.00345933141024539,12000.0,0.002329346601532203,13000.0,0.0029044490279524077,128.7693605475928,9.451029714237569
lighteval|mmlu_ara_cf:_average|0,acc,0.9144827586206894,0.8714285714285716,0.0032230067329384487,12000.0,0.002016911663591524,14000.0,0.002797570789711438,140.15629169393864,25.990044100903624
lighteval|mmlu_ara_cf:_average|0,acc_norm,0.8669950738916254,0.9000000000000001,0.0027397486406301333,13000.0,0.0004123927057515177,14000.0,0.0019069103022886006,137.53060170473273,36.10672558502946
lighteval|mmlu_ara_cf:_average|0,acc_norm_token,0.8481773399014777,0.9000000000000001,0.003362351036189321,14000.0,0.002524186845811662,13000.0,0.0028273507570104953,121.2233029724729,21.811750386383956
lighteval|mmlu_ara_cf:_average|0,acc_norm_pmi,0.8832512315270933,0.942857142857143,0.007662547550501218,12000.0,0.002930854133803722,14000.0,0.005110148331673552,86.42082093614516,16.3273683367508
lighteval|mlmm_mmlu_ara_cf:_average|0,acc,0.8909373555955394,0.9000000000000001,0.0015503081372256467,12500.0,0.0010871377618990664,13000.0,0.0014201220993112287,169.5810878174657,-4.1428525778547085
lighteval|mlmm_mmlu_ara_cf:_average|0,acc_norm,0.40335114869898786,0.942857142857143,0.0032396124087014097,14000.0,0.002124835232947368,12500.0,0.00253190292181905,179.1340387997416,2.9865266297679858
lighteval|mlmm_mmlu_ara_cf:_average|0,acc_norm_token,0.7967501634773129,0.8571428571428571,0.0033418257840528275,12500.0,0.0030114294819502466,13500.0,0.0031964613619767193,140.90654627274637,2.2774498658410565
lighteval|mlmm_mmlu_ara_cf:_average|0,acc_norm_pmi,0.7884941647154415,0.9428571428571428,0.0038609252565605847,14000.0,0.0018210981705319926,12000.0,0.0027020930904208744,114.5645089114859,11.372259259165796
