runname,seed,steps,tokens,acc,acc_norm,acc_norm_token,acc_norm_pmi,acc,acc_norm,acc_norm_token,acc_norm_pmi,acc,acc_norm,acc_norm_token,acc_norm_pmi
1p46G-gemma-helios-ar-29BT,6,0,0.0,0.23531486240000002,0.2488206695,0.2460713034,0.2446117686,0.2813235103,0.287592555,0.27814111410000003,0.2858619283,0.2272598321,0.2530728626,0.2450323408,0.2489445713
1p46G-gemma-helios-ar-29BT,6,1000,2.097152,0.2420371255,0.2565212096,0.2560869489,0.2590970957,0.3163008665,0.32537291290000003,0.3220109748,0.31813416040000003,0.2381659847,0.25314636630000004,0.2528347184,0.26401276
1p46G-gemma-helios-ar-29BT,6,10000,20.97152,0.2559950051,0.2616195119,0.2637782904,0.2763071103,0.3500944522,0.3481256098,0.3412285483,0.35871006310000003,0.24459606020000002,0.2514255901,0.2514481569,0.27954916080000003
1p46G-gemma-helios-ar-29BT,6,10500,22.020096,0.2520965633,0.2598877502,0.2632406074,0.28335113440000004,0.34429731500000005,0.3431791684,0.3400495699,0.3646589327,0.2426540386,0.2514259585,0.25240731180000003,0.27869689340000003
1p46G-gemma-helios-ar-29BT,6,11000,23.068672,0.2503149489,0.2566912415,0.26010569570000003,0.2778013353,0.34931913810000004,0.3481475336,0.3435484185,0.3600199153,0.2433615862,0.2516238395,0.2562803974,0.2788389953
1p46G-gemma-helios-ar-29BT,6,11500,24.117248,0.2536251406,0.26404215140000004,0.2590195643,0.2801632878,0.3494366575,0.3488168692,0.34216468780000003,0.37031260600000004,0.2424824435,0.2499547412,0.2557732957,0.2744428789
1p46G-gemma-helios-ar-29BT,6,12000,25.165824,0.252161837,0.2613625674,0.26299267660000003,0.2781955977,0.34888692390000003,0.3455128911,0.3440402454,0.3723535276,0.2427564264,0.2487012657,0.2549654263,0.2785168523
1p46G-gemma-helios-ar-29BT,6,12500,26.2144,0.25335032900000004,0.2609256264,0.2615737938,0.2778620287,0.3488146111,0.3462711261,0.3363175135,0.3661544357,0.242382698,0.24826140770000002,0.2538410863,0.27482168100000004
1p46G-gemma-helios-ar-29BT,6,13000,27.262976,0.2530001489,0.2603839511,0.2609698019,0.2774362787,0.351996668,0.34801064060000003,0.3411940664,0.3636613228,0.2442582922,0.2475461051,0.2532862711,0.2791106591
1p46G-gemma-helios-ar-29BT,6,13500,28.311552,0.2527492892,0.2611378133,0.2622269143,0.2759760471,0.35142150920000004,0.350984035,0.342804057,0.3637537898,0.24279243920000002,0.2519377997,0.2550890594,0.2803161493
